Indexcd,Month,Clsidx
2,16-Feb,2812.8
2,16-Mar,3143.56
2,16-Apr,3074.87
2,16-May,3052.78
2,16-Jun,3066.5
2,16-Jul,3118.9
2,16-Aug,3230.05
2,16-Sep,3145.17
2,16-Oct,3246.25
2,16-Nov,3403.22
2,16-Dec,3249.59
2,17-Jan,3308.06
2,17-Feb,3394.5
2,17-Mar,3374.67
2,17-Apr,3303.44
2,17-May,3264.54
2,17-Jun,3343.39
2,17-Jul,3427.8
2,17-Aug,3519.72
2,17-Sep,3506.73
2,17-Oct,3553.72
2,17-Nov,3474.01
2,17-Dec,3463.48
